,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,11912647,11912647.0,11912647.0,11912647.0,92747.0,1797718.0,56575.0,3518467.0,3409277.0,6856440.0,2632637.0,1767198.0,3133082.0,9760240.0,10351228.0,10289522.0,61625.0,11912647.0,11912647.0,11912647.0
unique,202,,,,,,,,,,,,,,,,,,,
top,48_355_0034,,,,,,,,,,,,,,,,,,,
freq,61632,,,,,,,,,,,,,,,,,,,
mean,,31.4973201751709,-102.48731994628906,1468656477.0024748,157.08335876464844,67.561767578125,1.4914703369140625,5.167962551116943,7.036331653594971,24.066560745239258,8.685639381408691,0.3101375699043274,0.3250996172428131,74.29904174804688,150.7495880126953,6.1582865715026855,68.04315185546875,11.495707964820916,15.777690466275043,6.988175675817474
std,,2.113921880722046,6.037825107574463,5347020.892969858,69.38180541992188,24.270647048950195,7.434246063232422,6.541824817657471,13.37636661529541,52.36593246459961,8.913548469543457,2.9118869304656982,0.4969024062156677,25.218477249145508,84.03710174560547,3.832606792449951,8.08188533782959,6.922350037511946,8.821522893629947,2.001308127721079
min,,25.89251708984375,-106.54730224609375,1459468800.0,-71.7030029296875,-5.75,-2.0664899349212646,-70.47000122070312,-75.77999877929688,-1000.0,-16.100000381469727,-904.4760131835938,-5.288400173187256,-1000.0,0.0,0.0,28.239999771118164,0.0,1.0,4.0
25%,,29.588611602783203,-97.82965850830078,1463987700.0,115.05749893188477,53.779998779296875,0.11789999902248383,1.268630027770996,1.4386500120162964,15.299599647521973,4.6168999671936035,-0.06992000341415405,0.0,72.4000015258789,100.4000015258789,3.309999942779541,65.87000274658203,5.0,8.0,5.0
50%,,29.901037216186523,-97.10832977294922,1468637700.0,142.28599548339844,72.01000213623047,0.40544000267982483,2.997159957885742,3.4123799800872803,24.950000762939453,7.446899890899658,0.16818000376224518,0.03229999914765358,78.68000030517578,149.5,5.519999980926514,70.4800033569336,11.0,16.0,7.0
75%,,32.35359573364258,-95.29362487792969,1473289800.0,179.25150299072266,85.0,1.0183099508285522,6.6779398918151855,7.849999904632568,36.88962459564209,11.143500328063965,0.43362998962402344,0.5839999914169312,84.4000015258789,187.9600067138672,8.319999694824219,73.54000091552734,17.0,23.0,9.0
max,,35.382747650146484,-93.76134490966797,1477958100.0,1000.0,260.8299865722656,515.4769897460938,520.1849975585938,1000.0,293.25,999.5180053710938,495.3739929199219,38.895999908447266,1000.0,360.0,212.97000122070312,79.2699966430664,23.0,31.0,10.0
